"","fips","year","uranium_avg_excess","arsenic_avg_excess","dehp_avg_excess","nitrates_avg_excess","haa_avg_excess","thm_avg_excess","county","total_med","total_agri_fish_mine","agri_fish_hunt","mining_quarrying_oilgas_extract","construction","manufacturing","wholesale_trade","retail_trade","transport_warehouse_utilities","transport_warehouse","utilities","information","fin_ins_realest","fin_ins","realest_rent_lease","total_prof_sci_mgmt_admin","prof_sci_tech","admin_sup","total_edu_health_social","edu_serv","health_social","total_arts_ent_acc_food","arts_ent_rec","acc_food_serv","other_ser","pub_admin","maxcontam"
"1955","21113","2012",0,0,0,0,0,0,"Jessamine County, Kentucky",-0.0181170251666667,0.309564821833333,0.0440089673333333,-0.0771759618333333,-0.125089113333333,0.0449168616666667,-0.0520842186666667,0.0706071665,-0.054121106,-0.0730034031666667,-0.112926558666667,-0.0127648913333333,0.0162813161666667,-0.0899504215,0.0077508815,-0.0652132238333333,0.013809653,0.0411203583333333,-0.0307230316666667,-0.073731289,-0.0124573126666667,0.0773649275,-0.051089317,0.0421601401666667,0.0610244008333333,-0.111764753666667,0
"1956","21113","2013",0,0,0,0,0.00416666666666667,0.021875,"Jessamine County, Kentucky",-0.0129312591666667,0.0195748318333333,0.00780324333333333,-0.0668461148333333,-0.0430736983333333,0.00742134266666667,0.00625661433333333,-0.0106615515,0.000414530999999999,-0.0163062841666667,0.0824551653333333,-0.0810152263333333,-0.0161137458333333,0.0190823665,-0.0890233125,-0.0856902568333333,-0.138158811,0.0152744583333333,-0.00538127266666667,-0.011023435,-0.00270850666666667,-0.0276085345,-0.066135962,-0.0469775498333333,-0.000980745166666668,-0.00340515566666667,0.0875
"1957","21113","2014",0,0,0,0,0,0,"Jessamine County, Kentucky",-0.0336052301666667,-0.193292476166667,0.0505914343333333,-0.0915699248333333,-0.117556373333333,-0.0332717183333333,0.0955597653333333,0.0186176315,-0.00712958,0.00558211383333333,-0.183513012666667,0.225354632666667,0.0260674361666667,-0.1585524175,-0.0144638905,-0.104213032833333,0.222374522,-0.303198389666667,0.0145172833333333,0.085365108,0.00599058433333333,0.0105224545,0.647002124,-0.0367587228333333,-0.00819693016666667,-0.00874989066666667,0
"1958","21113","2015",0,0,0,0,0,0,"Jessamine County, Kentucky",0.0264044668333333,0.0218820298333333,-0.0515731766666667,-0.300899471833333,0.122127658666667,-0.0431324513333333,-0.0726013976666667,-0.1238210925,-0.009731216,-0.0233409841666667,0.0685562993333333,-0.312595226333333,0.0269815671666667,0.0248183845,-0.0526248455,0.0945004741666667,-0.018803189,-0.0953147316666667,0.0251594053333333,0.014618319,0.0185903303333333,-0.0715708525,0.162531468,-0.116559648833333,-0.0157343471666667,0.0992815723333333,0
"1959","21113","2016",0,0,0,0,0,0.01759375,"Jessamine County, Kentucky",0.0105284568333333,0.0127069068333333,-0.0425212846666667,-0.0556267768333333,-0.159080028333333,-0.0236547013333333,0.0740242343333333,0.0059408375,-0.000632656000000001,-0.00563182316666667,0.0698173853333333,0.257549620666667,0.164458563166667,0.1103972265,0.5005804025,0.162197466166667,-0.036416128,0.290817263333333,-0.0174149296666667,-0.042004359,-0.0126560506666667,-0.0102899315,-0.587172144,0.0618517931666667,-0.117219986166667,-0.0314495976666667,0.0703749999999999
"1972","21119","2011",0,0,0,0,0,0,"Knott County, Kentucky",0.0265366498333333,0.0602329373333333,-0.224420256333333,0.095858376,-0.0213585353333333,-0.361101335,-0.208125387,0.0828173911666667,0.00514425916666666,0.0541613898333333,-0.0773078665,-0.183422925333333,-0.103730337666667,-0.260063349166667,-0.577996647666667,0.032461623,0.0898280341666667,0.557560659166667,0.0545102116666667,0.0677863996666667,-0.0544048215,0.171447020833333,0.0932138738333333,0.1921285385,0.638801387166667,0.0137068406666667,0
"1973","21119","2012",0,0,0,0,0,0,"Knott County, Kentucky",0.0241287578333333,0.0906943783333333,-0.291968749333333,0.064100869,0.0384173936666667,-0.128197476,-0.113157441,0.103713012166667,-0.0524887558333333,-0.0634079201666667,0.3237296975,0.0315740376666667,-0.0322143436666667,0.0568470218333333,-0.897782013666667,-0.11575267,-0.161927321833333,-0.0753509198333333,0.0932535906666667,0.0937654186666667,0.1135630705,-0.153475472166667,-0.520289922166667,-0.3051312745,-0.183816113833333,-0.0378019443333333,0
"1974","21119","2013",0,0,0,0,0,0,"Knott County, Kentucky",0.0115691078333333,-0.0206664466666667,-0.273546027333333,-0.017131199,0.0889041166666667,-0.000671418000000006,0.023601533,0.0169769121666667,-0.0649944058333333,-0.0192925131666667,-0.0773078665,0.0201147536666667,0.0189363293333333,0.0503932428333333,-0.577996647666667,0.039802886,0.00386887116666667,-0.112133807833333,-0.0424276553333333,-0.0728142783333333,-0.0224326785,0.158520443833333,0.112237987833333,0.1582805575,-0.166405602833333,0.00212777966666667,0
"1975","21119","2014",0,0,0,0,0,0.0479166666666667,"Knott County, Kentucky",0.0231759028333333,-0.0221807706666667,-0.556434404333333,-0.000824907999999999,-0.0493714353333333,0.016410979,0.013328559,-0.0398768328333333,0.00567871316666667,0.0783676188333333,0.2531269165,0.0236195766666667,0.255478797333333,0.0472965938333333,3.19572997133333,0.161944501,0.0140574841666667,-0.0278371388333333,0.00447351766666666,-0.00801037833333333,0.000469091499999998,0.0966282278333333,0.109093574833333,-0.0605541685,0.380927296166667,0.223501333666667,0.14375
"1976","21119","2015",0,0,0,0,0.0277777777777778,0.0125,"Knott County, Kentucky",-0.0133010931666667,-0.143356336666667,-0.560593626333333,-0.125283539,-0.184806028333333,-0.00619242700000001,0.148247425,-0.124379132833333,0.311433199166667,-0.0659317451666667,-0.3929941415,0.0317139716666667,0.00586865933333333,0.0606342208333333,-0.570952695666667,-0.114790687,0.0270419011666667,-0.138048200833333,-0.0660584243333333,-0.0835261063333333,-0.0228836805,0.188955004833333,0.0992744548333333,0.4790058725,-0.180753628833333,-0.0983260703333333,0.0833333333333333
